	crypto is the futureeeeeeeee	
	when my mom doesn't get why crypto is so great I just ask her what time her bank closes, and when she says 5:00 I get to say, "You know when the blockchain closes, Mom? Never."	
	dude that is a great argument, stealing it	
		https://i2.wp.com/youmeandbtc.com/wp-content/uploads/2016/05/Make-Bitcoin-Great-Again.jpg?fit=752%2C400&ssl=1
	cryptocurrency is 24/7/365	
	i can't wait until i can get my coffee maker running on the blockchain. think about it - i can never drink too much because i have to mine the next block before every cup.	
	dude how much coffee do u drink rn	
	:zombie-with-coffee-cup:	
		https://miro.medium.com/max/840/1*Y3ty23vRKnuaMrM4KNciEg.jpeg
	So now that ETH has dropped to ~$200 I'm thinking of going all in - thoughts?	
	Just remember, as Vitalik himself says--crypto is about the applications, not about the price. ETH has value as a technology, but its value as a currency is speculative.	
	Do it!!! all of your money--so worth it. 	
	dude that's terrible advice	
	why is that terrible advice?? I'm all in	
	That's your choice - just saying, we all believe in blockchain technology here, but the cryptos themselves are a risky, volatile investment and very well could leave someone bankrupt	
	dude whatever, if you don't think cryptos are going up then what are you even doing here	
	I agree, take any crypto investment as a risky one, and just like any other investment, don't put up what you're terrified to lose	
	But like we're all clear it's going up right	
	I bought in at $500 and I am HODLing all the way up to $500k amirite	
	I'm so excited for smart contracts. Imagine it--I can buy a house with my future millions without ever having to talk to a realtor	
	bro why stop at one house	
	Industries are going to be REVOLUTIONIZED by blockchain technology, and this is just the beginning. We're coming up on a 4th Industrial Revolution.	
	Only about 1 in every 1,000 people are involved in the crypto space right now. Imagine getting in on Facebook at that stage....	
	$$$$$	
	lol do you think when we hit full adoption Satoshi will stream himself grilling ribs with sweet baby ray's	
	lolololol	
	:high-five:	
	hey look at this ethereum watercolor i painted do you like it	https://i.imgur.com/SrzCRJI.jpg
	Love it. I'd hang that in my house.	
	so good holy shit	
	Milestone you guys! >1M ETH transactions in the past 24 hours!	
	:champagne:	
	eff yes	
	BITCOIN TO THE MOON TODAY	
	SO GO SHORT!	
	bear trap lol	
	Whole worlds buying this dip	
	buy high sell low go go go	
	bull trap of the gods, you will all get rekt, going back to 1k	
	ok thanks let me try	
	IM CONTRADICTING MYSELF I HAVE A LONG POSITION LOL	
	SHORRTTTTTTT	
a	guys i have 50 in bcn do you think its better to sell it	
b	RIPPLE - will hit 1 cent again today - watch closely	
	<username_a>, you will do excellent. invest much in crypto	
	<username_b>, false	
	<username_a>, avoid the price hype please	
c	having a mild for of PTSD right now....from all this price dropping. Can't imagine what soldiers go tyhriugh	
c	Through	
	cancel my orders!!!!1	
	pencil	
	wtf	
	CANCEL MY ORDER PLEASE	
	buy eth and shut up	
	cancel?	
	cancel order	
	CANCEL THIS PLANET	
	you idiots cannot cancel buy orders lol	
	Wanna smoke cocaine and suck someones penis??!	
	cancel orders are banned, stay online for news	
	yeah no backsies	
	shoulda bought ETH :trollface:	
	all bow to Vitalik the Great	
	WE LOVE YOU VITALIK	
		https://i.ytimg.com/vi/BzMx7N2_cDY/maxresdefault.jpg
		https://i.ytimg.com/vi/WSN5BaCzsbo/hqdefault.jpg
	LTC buy wall is epic lol	
	The cunamy of LTC from China is coming	
	ni hoa	
	the pain cometh	
mod	PLEASE do your part to keep this thread free of SPAM. Only YOU can prevent chat SPAM. This is an automated message from your friendly local MOD SQUAD.	
	*has no chair, just sits in popcorn*	
